index,state,year,name,type,city,county,district,enroll,mmr,overall,xrel,xmed,xper
406,Utah,2017-18,Kanesville Elementary-Ogden,Public,West Haven,Weber,,737.0,95.12,-1.0,,,4.75
906,Arizona,2018-19,Basis Chandler Primary North Campus,Charter,Chandler,Maricopa,,125.0,87.2,-1.0,,,3.2
1297,Arizona,2018-19,Sequoia Lehi Charter,Charter,Mesa,Maricopa,,,-1.0,-1.0,,,
610,Pennsylvania,2017,Homeville Elementary,,West Mifflin,,,72.0,98.6,-1.0,,,
5282,California,2018-19,Shandon Elementary,Public,Shandon,San Luis Obispo,,20.0,95.0,95.0,,5.0,
1223,Arizona,2018-19,Mingus Springs Charter,Charter,Chino Valley,Yavapai,,,-1.0,-1.0,,,
329,Iowa,2018-19,Bloomer Elementary,,,Pottawattamie,,369.0,-1.0,97.3,,,
1983,New York,2017-18,Our Lady Of Mercy,Private,Hicksville,Nassau,,,98.8,-1.0,1.23,,
1133,New York,2017-18,Rabbinical Academy Mesivta Rabbi Chaim Berlin,Private,Brooklyn,Kings,,,99.6,-1.0,1.58,0.4,
2375,California,2018-19,Learning Without Limits,Public,Oakland,Alameda,,69.0,98.0,94.0,,,
1176,Illinois,2018-19,Trinity Catholic Academy,,La Salle,La Salle,,178.0,98.87640449,-1.0,1.12,,
1136,Illinois,2018-19,St Daniel the Prophet,,Chicago,Cook,,645.0,98.91472868,-1.0,0.78,,
1908,California,2018-19,Fryberger Elementary,Public,Westminster,Orange,,76.0,98.0,96.0,,,
3505,New York,2017-18,Cleary School For The Deaf,Private,Nesconset,Suffolk,,,50.0,-1.0,,50.0,
116,Maine,2018-19,Mapleton Elementary,,,Aroostook,,33.0,96.97,-1.0,,,6.06
7148,California,2018-19,Ipakanni Early College Charter,Public,Oroville,Butte,,2.0,-1.0,-1.0,,,
7722,California,2018-19,Silicon Valley Academy,Private,Sunnyvale,Santa Clara,,17.0,-1.0,-1.0,,,
1613,New Jersey,,Woodside Avenue,,,Bergen,,40.0,-1.0,92.5,7.5,,
474,Arizona,2018-19,Borton Primary Magnet,Public,Tucson,Pima,,70.0,95.71,-1.0,,1.43,5.71
7715,California,2018-19,Sierra Charter,Public,Fresno,Fresno,,7.0,-1.0,-1.0,,,
2093,Illinois,2018-19,Coulterville Elementary,,Coulterville,Randolph,,90.0,97.77777778,-1.0,2.22,,
6571,California,2018-19,Antelope Valley Learning Academy,Public,Palmdale,Los Angeles,,8.0,-1.0,-1.0,,,
871,Massachusetts,2018-19,Bernardston Elementary,Public,Bernardston,Franklin,,,-1.0,-1.0,,,
1410,Wisconsin,2018-19,Valley Christian,,Oshkosh,Winnebago,,,-1.0,35.0,5.0,,31.0
1150,Wisconsin,2018-19,Rock Ledge Elementary,,Seymour,Outagamie,,,-1.0,80.0,5.0,,5.0
1025,Arizona,2018-19,Liberty Arts Academy,Charter,Mesa,Maricopa,,21.0,76.19,-1.0,,,23.81
869,Colorado,2017-18,Pennington Elementary,Kindergarten,,Jefferson,Plateau RE-5,18.0,94.44,94.44,,,
1298,Ohio,2018-19,Medill Elementary,Public,Lancaster,Fairfield,,121.0,91.74,89.26,,4.13,
1250,Virginia,2018-19,Sugarland Elementary,,,Loudoun,Loudoun,79.0,-1.0,86.1,1.27,,
135,South Dakota,2017-18,Pine Ridge Elementary,,,Ogalala Lakota,,40.0,100.0,-1.0,,,
3177,New York,2017-18,F.R.E.E./Mazel Day,Private,Brooklyn,Kings,,,92.5,-1.0,8.5,,
7075,California,2018-19,Highland Academy,Public,Beaumont,Riverside,,13.0,-1.0,-1.0,,,
850,New Jersey,,Garfield,,,Hudson,,67.0,-1.0,98.5,,,
60,North Carolina,2018-19,Bethel Elementary,,,Cabarrus,,99.0,-1.0,100.0,1.0,,
4235,California,2018-19,Mint Canyon Community Elementary,Public,Canyon Country,Los Angeles,,53.0,96.0,94.0,,2.0,
1490,Pennsylvania,2017,Sunrise Elementary,,Irwin,,,53.0,92.5,-1.0,,,
